ID klienta;Nazwa klienta;Segment;Kraj;Miasto;Stan;Kod pocztowy;Region
CG-12520;Claire Gute;Klient indywidualny;Stany Zjednoczone;Henderson;Kentucky;42420;Południe
CG-12520;Claire Gute;Klient indywidualny;Stany Zjednoczone;Henderson;Kentucky;42420;Południe
DV-13045;Darrin Van Huff;Klient korporacyjny;Stany Zjednoczone;Los Angeles;California;90036;Zachód
SO-20335;Sean O'Donnell;Klient indywidualny;Stany Zjednoczone;Fort Lauderdale;Florida;33311;Południe
SO-20335;Sean O'Donnell;Klient indywidualny;Stany Zjednoczone;Fort Lauderdale;Florida;33311;Południe
BH-11710;Brosina Hoffman;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90032;Zachód
BH-11710;Brosina Hoffman;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90032;Zachód
BH-11710;Brosina Hoffman;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90032;Zachód
BH-11710;Brosina Hoffman;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90032;Zachód
BH-11710;Brosina Hoffman;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90032;Zachód
BH-11710;Brosina Hoffman;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90032;Zachód
BH-11710;Brosina Hoffman;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90032;Zachód
AA-10480;Andrew Allen;Klient indywidualny;Stany Zjednoczone;Concord;North Carolina;28027;Południe
IM-15070;Irene Maddox;Klient indywidualny;Stany Zjednoczone;Seattle;Washington;98103;Zachód
HP-14815;Harold Pawlan;Biuro domowe;Stany Zjednoczone;Fort Worth;Texas;76106;Centrum
HP-14815;Harold Pawlan;Biuro domowe;Stany Zjednoczone;Fort Worth;Texas;76106;Centrum
PK-19075;Pete Kriz;Klient indywidualny;Stany Zjednoczone;Madison;Wisconsin;53711;Centrum
AG-10270;Alejandro Grove;Klient indywidualny;Stany Zjednoczone;West Jordan;Utah;84084;Zachód
ZD-21925;Zuschuss Donatelli;Klient indywidualny;Stany Zjednoczone;San Francisco;California;94109;Zachód
ZD-21925;Zuschuss Donatelli;Klient indywidualny;Stany Zjednoczone;San Francisco;California;94109;Zachód
ZD-21925;Zuschuss Donatelli;Klient indywidualny;Stany Zjednoczone;San Francisco;California;94109;Zachód
KB-16585;Ken Black;Klient korporacyjny;Stany Zjednoczone;Fremont;Nebraska;68025;Centrum
KB-16585;Ken Black;Klient korporacyjny;Stany Zjednoczone;Fremont;Nebraska;68025;Centrum
SF-20065;Sandra Flanagan;Klient indywidualny;Stany Zjednoczone;Philadelphia;Pennsylvania;19140;Wschód
EB-13870;Emily Burns;Klient indywidualny;Stany Zjednoczone;Orem;Utah;84057;Zachód
EH-13945;Eric Hoffmann;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90049;Zachód
EH-13945;Eric Hoffmann;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90049;Zachód
TB-21520;Tracy Blumstein;Klient indywidualny;Stany Zjednoczone;Philadelphia;Pennsylvania;19140;Wschód
TB-21520;Tracy Blumstein;Klient indywidualny;Stany Zjednoczone;Philadelphia;Pennsylvania;19140;Wschód
TB-21520;Tracy Blumstein;Klient indywidualny;Stany Zjednoczone;Philadelphia;Pennsylvania;19140;Wschód
TB-21520;Tracy Blumstein;Klient indywidualny;Stany Zjednoczone;Philadelphia;Pennsylvania;19140;Wschód
TB-21520;Tracy Blumstein;Klient indywidualny;Stany Zjednoczone;Philadelphia;Pennsylvania;19140;Wschód
TB-21520;Tracy Blumstein;Klient indywidualny;Stany Zjednoczone;Philadelphia;Pennsylvania;19140;Wschód
TB-21520;Tracy Blumstein;Klient indywidualny;Stany Zjednoczone;Philadelphia;Pennsylvania;19140;Wschód
MA-17560;Matt Abelman;Biuro domowe;Stany Zjednoczone;Houston;Texas;77095;Centrum
GH-14485;Gene Hale;Klient korporacyjny;Stany Zjednoczone;Richardson;Texas;75080;Centrum
GH-14485;Gene Hale;Klient korporacyjny;Stany Zjednoczone;Richardson;Texas;75080;Centrum
SN-20710;Steve Nguyen;Biuro domowe;Stany Zjednoczone;Houston;Texas;77041;Centrum
SN-20710;Steve Nguyen;Biuro domowe;Stany Zjednoczone;Houston;Texas;77041;Centrum
SN-20710;Steve Nguyen;Biuro domowe;Stany Zjednoczone;Houston;Texas;77041;Centrum
SN-20710;Steve Nguyen;Biuro domowe;Stany Zjednoczone;Houston;Texas;77041;Centrum
LC-16930;Linda Cazamias;Klient korporacyjny;Stany Zjednoczone;Naperville;Illinois;60540;Centrum
RA-19885;Ruben Ausman;Klient korporacyjny;Stany Zjednoczone;Los Angeles;California;90049;Zachód
ES-14080;Erin Smith;Klient korporacyjny;Stany Zjednoczone;Melbourne;Florida;32935;Południe
ON-18715;Odella Nelson;Klient korporacyjny;Stany Zjednoczone;Eagan;Minnesota;55122;Centrum
ON-18715;Odella Nelson;Klient korporacyjny;Stany Zjednoczone;Eagan;Minnesota;55122;Centrum
PO-18865;Patrick O'Donnell;Klient indywidualny;Stany Zjednoczone;Westland;Michigan;48185;Centrum
LH-16900;Lena Hernandez;Klient indywidualny;Stany Zjednoczone;Dover;Delaware;19901;Wschód
LH-16900;Lena Hernandez;Klient indywidualny;Stany Zjednoczone;Dover;Delaware;19901;Wschód
DP-13000;Darren Powers;Klient indywidualny;Stany Zjednoczone;New Albany;Indiana;47150;Centrum
DP-13000;Darren Powers;Klient indywidualny;Stany Zjednoczone;New Albany;Indiana;47150;Centrum
DP-13000;Darren Powers;Klient indywidualny;Stany Zjednoczone;New Albany;Indiana;47150;Centrum
DP-13000;Darren Powers;Klient indywidualny;Stany Zjednoczone;New Albany;Indiana;47150;Centrum
JM-15265;Janet Molinari;Klient korporacyjny;Stany Zjednoczone;New York City;New York;10024;Wschód
JM-15265;Janet Molinari;Klient korporacyjny;Stany Zjednoczone;New York City;New York;10024;Wschód
TB-21055;Ted Butterfield;Klient indywidualny;Stany Zjednoczone;Troy;New York;12180;Wschód
TB-21055;Ted Butterfield;Klient indywidualny;Stany Zjednoczone;Troy;New York;12180;Wschód
TB-21055;Ted Butterfield;Klient indywidualny;Stany Zjednoczone;Troy;New York;12180;Wschód
TB-21055;Ted Butterfield;Klient indywidualny;Stany Zjednoczone;Troy;New York;12180;Wschód
TB-21055;Ted Butterfield;Klient indywidualny;Stany Zjednoczone;Troy;New York;12180;Wschód
TB-21055;Ted Butterfield;Klient indywidualny;Stany Zjednoczone;Troy;New York;12180;Wschód
TB-21055;Ted Butterfield;Klient indywidualny;Stany Zjednoczone;Troy;New York;12180;Wschód
KM-16720;Kunst Miller;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90004;Zachód
KM-16720;Kunst Miller;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90004;Zachód
KM-16720;Kunst Miller;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90004;Zachód
KM-16720;Kunst Miller;Klient indywidualny;Stany Zjednoczone;Los Angeles;California;90004;Zachód
PS-18970;Paul Stevenson;Biuro domowe;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
BS-11590;Brendan Sweed;Klient korporacyjny;Stany Zjednoczone;Gilbert;Arizona;85234;Zachód
BS-11590;Brendan Sweed;Klient korporacyjny;Stany Zjednoczone;Gilbert;Arizona;85234;Zachód
KD-16270;Karen Daniels;Klient indywidualny;Stany Zjednoczone;Springfield;Virginia;22153;Południe
HM-14980;Henry MacAllister;Klient indywidualny;Stany Zjednoczone;New York City;New York;10009;Wschód
TB-21520;Tracy Blumstein;Klient indywidualny;Stany Zjednoczone;Jackson;Michigan;49201;Centrum
JE-15745;Joel Eaton;Klient indywidualny;Stany Zjednoczone;Memphis;Tennessee;38109;Południe
JE-15745;Joel Eaton;Klient indywidualny;Stany Zjednoczone;Memphis;Tennessee;38109;Południe
JE-15745;Joel Eaton;Klient indywidualny;Stany Zjednoczone;Memphis;Tennessee;38109;Południe
KB-16600;Ken Brennan;Klient korporacyjny;Stany Zjednoczone;Houston;Texas;77041;Centrum
KB-16600;Ken Brennan;Klient korporacyjny;Stany Zjednoczone;Houston;Texas;77041;Centrum
KB-16600;Ken Brennan;Klient korporacyjny;Stany Zjednoczone;Houston;Texas;77041;Centrum
JE-15745;Joel Eaton;Klient indywidualny;Stany Zjednoczone;Houston;Texas;77070;Centrum
SC-20770;Stewart Carmichael;Klient korporacyjny;Stany Zjednoczone;Decatur;Alabama;35601;Południe
SC-20770;Stewart Carmichael;Klient korporacyjny;Stany Zjednoczone;Decatur;Alabama;35601;Południe
DN-13690;Duane Noonan;Klient indywidualny;Stany Zjednoczone;San Francisco;California;94122;Zachód
DN-13690;Duane Noonan;Klient indywidualny;Stany Zjednoczone;San Francisco;California;94122;Zachód
JC-16105;Julie Creighton;Klient korporacyjny;Stany Zjednoczone;Durham;North Carolina;27707;Południe
CS-12400;Christopher Schild;Biuro domowe;Stany Zjednoczone;Chicago;Illinois;60623;Centrum
PO-18865;Patrick O'Donnell;Klient indywidualny;Stany Zjednoczone;Columbia;South Carolina;29203;Południe
PG-18895;Paul Gonzalez;Klient indywidualny;Stany Zjednoczone;Rochester;Minnesota;55901;Centrum
PG-18895;Paul Gonzalez;Klient indywidualny;Stany Zjednoczone;Rochester;Minnesota;55901;Centrum
GM-14455;Gary Mitchum;Biuro domowe;Stany Zjednoczone;Houston;Texas;77095;Centrum
JS-15685;Jim Sink;Klient korporacyjny;Stany Zjednoczone;Los Angeles;California;90036;Zachód
JS-15685;Jim Sink;Klient korporacyjny;Stany Zjednoczone;Los Angeles;California;90036;Zachód
JS-15685;Jim Sink;Klient korporacyjny;Stany Zjednoczone;Los Angeles;California;90036;Zachód
KB-16315;Karl Braun;Klient indywidualny;Stany Zjednoczone;Minneapolis;Minnesota;55407;Centrum
KB-16315;Karl Braun;Klient indywidualny;Stany Zjednoczone;Minneapolis;Minnesota;55407;Centrum
KB-16315;Karl Braun;Klient indywidualny;Stany Zjednoczone;Minneapolis;Minnesota;55407;Centrum
RB-19705;Roger Barcio;Biuro domowe;Stany Zjednoczone;Portland;Oregon;97206;Zachód
PN-18775;Parhena Norris;Biuro domowe;Stany Zjednoczone;New York City;New York;10009;Wschód
KD-16345;Katherine Ducich;Klient indywidualny;Stany Zjednoczone;San Francisco;California;94122;Zachód
ER-13855;Elpida Rittenbach;Klient korporacyjny;Stany Zjednoczone;Saint Paul;Minnesota;55106;Centrum
RB-19465;Rick Bensley;Biuro domowe;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
RB-19465;Rick Bensley;Biuro domowe;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
RB-19465;Rick Bensley;Biuro domowe;Stany Zjednoczone;Chicago;Illinois;60610;Centrum
GZ-14470;Gary Zandusky;Klient indywidualny;Stany Zjednoczone;Rochester;Minnesota;55901;Centrum
LC-16870;Lena Cacioppo;Klient indywidualny;Stany Zjednoczone;Aurora;Colorado;80013;Zachód
LC-16870;Lena Cacioppo;Klient indywidualny;Stany Zjednoczone;Aurora;Colorado;80013;Zachód
LC-16870;Lena Cacioppo;Klient indywidualny;Stany Zjednoczone;Aurora;Colorado;80013;Zachód
